plant,pop,taxa,sp,reg2,corL,corW2,stigma,lipL,brLbW,red,green,blue,LatN,LonW
SIC30,SIC,S,S,sS,35.336,2.867,1.8235,4.7995,2.303,223,90,141,30.486035,-101.7882521
SIC4,SIC,S,S,sS,34.23,2.3575,0.81,4.8525,4.633,241,132,169,30.486035,-101.7882521
SIC5,SIC,S,S,sS,26.954,2.3855,1.9935,4.1575,2.7015,219,87,174,30.486035,-101.7882521
SIC6,SIC,S,S,sS,33.2095,2.5805,1.578,5.6985,2.2545,197,58,93,30.486035,-101.7882521
SIC7,SIC,S,S,sS,28.859,2.5825,2.0255,4.176,2.5125,218,83,129,30.486035,-101.7882521
SIC8,SIC,S,S,sS,30.379,2.396,1.3055,4.345,1.4005,213,96,122,30.486035,-101.7882521
SIC9,SIC,S,S,sS,37.1905,2.4265,2.421,5.322,1.336,229,95,160,30.486035,-101.7882521
SILB1,SILB,S,S,nS,48.8095,2.846,1.535,6.845,0.9205,208,221,90,42.44124,-87.80295
SILB10,SILB,S,S,nS,52.8705,3.3255,0.566,6.573,1.17,149,171,70,42.44124,-87.80295
SILB11,SILB,S,S,nS,56.9845,2.8075,1.353,7.15,1.119,200,207,155,42.44124,-87.80295
SILB12,SILB,S,S,nS,48.324,2.973,1.7055,5.6095,1.2185,149,171,70,42.44124,-87.80295
SILB13,SILB,S,S,nS,53.909,2.829,1.644,6.354,0.9275,185,193,113,42.44124,-87.80295
SILB14,SILB,S,S,nS,48.3465,2.5515,2.1045,6.985,1.7375,155,200,66,42.44124,-87.80295
SILB15,SILB,S,S,nS,44.9295,2.918,1.8605,6.067,1.585,128,150,45,42.44124,-87.80295
SILB16,SILB,S,S,nS,50.2375,3.1135,1.999,8.3215,1.042,128,150,45,42.44124,-87.80295
SILB17,SILB,S,S,nS,49.473,3.0815,1.306,6.539,0.7935,224,225,123,42.44124,-87.80295
SILB18,SILB,S,S,nS,52.0445,3.608,1.4695,7.235,1.2445,155,200,66,42.44124,-87.80295
SILB19,SILB,S,S,nS,52.086,3.02,2.256,6.4515,1.356,173,214,100,42.44124,-87.80295
SILB2,SILB,S,S,nS,53.0255,2.7675,0.4435,7.3145,1.435,229,227,161,42.44124,-87.80295
SILB20,SILB,S,S,nS,57.585,2.861,1.8395,7.113,1.2165,173,214,100,42.44124,-87.80295
SILB21,SILB,S,S,nS,51.059,2.9665,2.608,5.6695,1.269,128,150,45,42.44124,-87.80295
SILB22,SILB,S,S,nS,45.158,3.252,2.8605,7.056,1.3245,128,150,45,42.44124,-87.80295
SILB23,SILB,S,S,nS,48.728,2.8365,2.2125,6.354,1.4135,173,214,100,42.44124,-87.80295
SILB24,SILB,S,S,nS,47.7855,2.4865,1.846,6.9385,1.577,208,221,90,42.44124,-87.80295
SILB25,SILB,S,S,nS,50.3285,3.4845,1.7255,8.216,1.7645,185,193,113,42.44124,-87.80295
SILB26,SILB,S,S,nS,51.299,2.699,1.2035,6.555,1.094,208,221,90,42.44124,-87.80295
SILB27,SILB,S,S,nS,43.6835,3.2135,1.7255,7.195,2.413,237,234,115,42.44124,-87.80295
SILB28,SILB,S,S,nS,52.242,3.726,1.2195,7.894,2.1975,240,225,141,42.44124,-87.80295
SILB29,SILB,S,S,nS,65.1815,2.9,2.5835,8.3865,1.3615,240,225,141,42.44124,-87.80295
SILB3,SILB,S,S,nS,51.5725,2.918,1.269,6.551,1.142,255,209,198,42.44124,-87.80295
SILB30,SILB,S,S,nS,57.0285,2.815,1.992,6.517,1.269,229,227,161,42.44124,-87.80295
SILB4,SILB,S,S,nS,54.9875,2.862,1.9565,7.868,1.5385,128,150,45,42.44124,-87.80295
SILB5,SILB,S,S,nS,55.56,3.14,2.3865,5.801,1.265,213,225,172,42.44124,-87.80295
SILB6,SILB,S,S,nS,51.6695,2.774,1.682,9.1385,1.134,213,225,172,42.44124,-87.80295
SILB7,SILB,S,S,nS,58.6515,2.4435,3.1085,6.1865,0.9905,185,193,113,42.44124,-87.80295
SILB8,SILB,S,S,nS,50.3955,3.544,2.412,6.3195,1.2165,247,173,176,42.44124,-87.80295
SILB9,SILB,S,S,nS,53.813,3.482,1.246,6.869,1.4835,185,193,113,42.44124,-87.80295
SMAR1,SMAR,S,S,sS,49.3095,2.7835,1.563,6.278,1.5105,210,62,83,30.4145,-102.98168
SMAR10,SMAR,S,S,sS,39.343,3.1915,0.996,6.328,1.676,197,56,139,30.4145,-102.98168
SMAR11,SMAR,S,S,sS,43.33,3.008,1.1525,6.396,1.78,184,40,95,30.4145,-102.98168
SMAR12,SMAR,S,S,sS,48.343,2.843,2.0735,6.6905,2.0795,219,87,174,30.4145,-102.98168
SMAR13,SMAR,S,S,sS,47.0365,2.698,1.439,5.5845,1.7845,159,24,67,30.4145,-102.98168
SMAR14,SMAR,S,S,sS,38.7245,2.2645,0.6615,5.823,1.971,184,40,95,30.4145,-102.98168
SMAR15,SMAR,S,S,sS,51.722,3.3165,1.6255,6.3995,1.2035,197,56,139,30.4145,-102.98168
SMAR16,SMAR,S,S,sS,45.9195,2.7625,1.307,6.6055,1.7705,186,38,62,30.4145,-102.98168
SMAR17,SMAR,S,S,sS,44.9465,2.803,1.718,5.873,1.656,223,90,141,30.4145,-102.98168
SMAR18,SMAR,S,S,sS,43.9345,3.2015,2.0705,5.7745,2.787,186,38,62,30.4145,-102.98168
SMAR19,SMAR,S,S,sS,49.192,3.1515,1.4955,5.7815,2.9665,191,31,58,30.4145,-102.98168
SMAR2,SMAR,S,S,sS,44.026,2.6415,0.3485,5.2785,1.3015,200,64,66,30.4145,-102.98168
SMAR20,SMAR,S,S,sS,53.4215,2.5935,1.1915,6.5505,1.7535,197,56,139,30.4145,-102.98168
SMAR21,SMAR,S,S,sS,44.373,2.377,2.6385,5.844,1.5125,197,56,139,30.4145,-102.98168
SMAR22,SMAR,S,S,sS,44.727,2.5385,1.564,5.4675,2.051,229,95,160,30.4145,-102.98168
SMAR23,SMAR,S,S,sS,49.305,2.5225,1.085,5.573,1.8185,186,38,62,30.4145,-102.98168
SMAR24,SMAR,S,S,sS,47.394,3.0805,1.3415,5.297,2.058,200,64,66,30.4145,-102.98168
SMAR25,SMAR,S,S,sS,46.965,2.742,1.41,4.7265,1.709,187,49,81,30.4145,-102.98168
SMAR26,SMAR,S,S,sS,41.1035,2.657,0.734,5.888,1.947,255,112,107,30.4145,-102.98168
SMAR27,SMAR,S,S,sS,42.3085,2.4905,0.8435,4.586,2.0595,184,40,95,30.4145,-102.98168
SMAR28,SMAR,S,S,sS,51.5645,2.579,1.224,6.627,1.656,218,79,79,30.4145,-102.98168
SMAR29,SMAR,S,S,sS,47.5375,2.547,1.3395,6.6835,2.222,219,87,174,30.4145,-102.98168
SMAR3,SMAR,S,S,sS,50.1255,3.409,0.787,6.52,1.6855,159,24,67,30.4145,-102.98168
SMAR30,SMAR,S,S,sS,45.527,2.646,1.893,5.338,1.771,187,49,81,30.4145,-102.98168
SMAR4,SMAR,S,S,sS,42.249,2.035,0.555,6.461,1.4445,210,62,83,30.4145,-102.98168
SMAR5,SMAR,S,S,sS,43.0765,2.683,0.8245,6.2515,1.3645,159,24,67,30.4145,-102.98168
SMAR6,SMAR,S,S,sS,42.815,3.3205,1.039,6.7265,2.119,229,95,160,30.4145,-102.98168
SMAR7,SMAR,S,S,sS,45.447,3.5145,1.3095,5.6545,2.825,216,49,81,30.4145,-102.98168
SMAR8,SMAR,S,S,sS,50.5565,4.038,2.457,6.1225,2.188,216,49,81,30.4145,-102.98168
SMAR9,SMAR,S,S,sS,40.878,2.7115,1.1085,5.5835,1.4635,229,95,160,30.4145,-102.98168
SMP1,SMP,S,S,sS,33.198,2.589,2.007,4.861,2.8115,255,202,57,32.2852116,-100.7884505
SMP10,SMP,S,S,sS,26.384,2.285,0.786,4.4995,1.264,208,221,90,32.2852116,-100.7884505
SMP11,SMP,S,S,sS,36.401,2.377,2.2835,4.7955,3.511,213,220,90,32.2852116,-100.7884505
SMP12,SMP,S,S,sS,32.8025,2.614,1.949,4.8155,2.6995,226,219,35,32.2852116,-100.7884505
SMP13,SMP,S,S,sS,36.507,2.8285,1.6245,5.6285,2.3735,226,219,47,32.2852116,-100.7884505
SMP14,SMP,S,S,sS,31.3685,2.5345,1.544,5.9305,2.0905,248,233,90,32.2852116,-100.7884505
SMP15,SMP,S,S,sS,31.1265,2.442,1.182,5.277,2.552,236,221,50,32.2852116,-100.7884505
SMP16,SMP,S,S,sS,35.421,2.457,1.0115,5.7345,3.077,243,220,25,32.2852116,-100.7884505
SMP17,SMP,S,S,sS,30.7505,3.029,4.455,4.7105,2.267,236,221,50,32.2852116,-100.7884505
SMP18,SMP,S,S,sS,29.77,2.5005,1.4625,4.774,2.7755,255,106,17,32.2852116,-100.7884505
SMP19,SMP,S,S,sS,33.222,2.5445,1.8725,6.0035,2.863,236,221,50,32.2852116,-100.7884505
SMP2,SMP,S,S,sS,27.338,2.621,2.004,4.1405,4.3305,211,212,41,32.2852116,-100.7884505
SMP20,SMP,S,S,sS,31.7925,2.4555,3.855,4.4975,1.757,236,221,50,32.2852116,-100.7884505
SMP21,SMP,S,S,sS,29.2,2.71,1.8215,4.965,1.7395,255,225,81,32.2852116,-100.7884505
SMP22,SMP,S,S,sS,30.2335,2.408,2.9105,4.3865,2.3455,226,219,35,32.2852116,-100.7884505
SMP23,SMP,S,S,sS,32.7715,2.5855,1.5995,5.7305,3.0235,211,212,41,32.2852116,-100.7884505
SMP24,SMP,S,S,sS,31.02,2.7185,1.5495,5.7665,2.3825,226,219,47,32.2852116,-100.7884505
SMP25,SMP,S,S,sS,26.578,2.5435,2.346,5.214,2.714,251,217,35,32.2852116,-100.7884505
SMP26,SMP,S,S,sS,25.7695,3.11,0.948,4.252,2.179,243,220,25,32.2852116,-100.7884505
SMP27,SMP,S,S,sS,28.733,2.5775,1.7325,4.169,2.449,251,217,35,32.2852116,-100.7884505
SMP28,SMP,S,S,sS,31.36,2.3185,1.749,4.792,2.855,255,225,81,32.2852116,-100.7884505
SMP29,SMP,S,S,sS,27.539,2.476,2.016,5.08,2.9575,236,221,50,32.2852116,-100.7884505
SMP3,SMP,S,S,sS,27.054,2.482,1.4575,3.651,2.857,226,219,47,32.2852116,-100.7884505
SMP30,SMP,S,S,sS,32.0655,2.048,3.2505,5.038,2.162,243,220,25,32.2852116,-100.7884505
SMP4,SMP,S,S,sS,29.124,2.288,1.488,5.447,1.9775,240,229,95,32.2852116,-100.7884505
SMP5,SMP,S,S,sS,29.56,2.508,1.2455,4.618,2.7625,213,220,90,32.2852116,-100.7884505
SMP6,SMP,S,S,sS,32.084,2.7,1.8665,5.1305,3.666,255,216,92,32.2852116,-100.7884505
SMP7,SMP,S,S,sS,30.2225,2.3635,1.57,4.3065,2.643,213,220,90,32.2852116,-100.7884505
SMP8,SMP,S,S,sS,33.741,2.7905,1.2745,3.4575,3.3925,213,220,90,32.2852116,-100.7884505
SMP9,SMP,S,S,sS,31.4045,2.4585,0.982,5.36,1.642,255,208,69,32.2852116,-100.7884505
SNG1,SNG,S,S,nS,46.2115,3.2155,1.7555,6.331,1.988,128,150,45,41.89933,-89.34156
SNG10,SNG,S,S,nS,50.3505,3.465,2.266,7.557,1.7585,242,233,187,41.89933,-89.34156
SNG11,SNG,S,S,nS,45.6675,3.265,1.635,5.651,1.716,186,216,159,41.89933,-89.34156
SNG12,SNG,S,S,nS,53.5435,3.0755,2.73,6.7415,1.8955,213,225,172,41.89933,-89.34156
SNG13,SNG,S,S,nS,47.124,3.2045,0.9705,6.245,1.69,242,233,187,41.89933,-89.34156
SNG14,SNG,S,S,nS,48.497,3.6365,1.81,6.4885,2.3095,242,233,187,41.89933,-89.34156
SNG15,SNG,S,S,nS,51.4165,3.44,1.517,6.7545,1.5975,185,193,113,41.89933,-89.34156
SNG16,SNG,S,S,nS,51.1935,3.0685,1.7785,6.236,1.7065,252,162,156,41.89933,-89.34156
SNG17,SNG,S,S,nS,49.261,3.433,2.0465,6.7905,2.7395,213,225,172,41.89933,-89.34156
SNG18,SNG,S,S,nS,49.5225,3.16,2.395,6.431,1.8095,252,162,156,41.89933,-89.34156
SNG19,SNG,S,S,nS,47.672,3.43,1.891,7.355,2.1515,229,227,161,41.89933,-89.34156
SNG2,SNG,S,S,nS,52.5125,3.936,0.9335,5.9125,1.5205,185,193,113,41.89933,-89.34156
SNG20,SNG,S,S,nS,54.668,2.3025,1.1775,7.2255,1.7985,185,193,113,41.89933,-89.34156
SNG21,SNG,S,S,nS,46.6145,3.022,1.89,6.896,1.514,242,233,187,41.89933,-89.34156
SNG22,SNG,S,S,nS,52.7255,3.537,1.928,7.2735,2.0545,242,233,187,41.89933,-89.34156
SNG23,SNG,S,S,nS,51.4255,3.1615,1.63,5.189,1.554,242,233,187,41.89933,-89.34156
SNG24,SNG,S,S,nS,52.526,2.941,1.0085,6.482,2.023,242,233,187,41.89933,-89.34156
SNG25,SNG,S,S,nS,46.844,2.8885,1.9,5.5755,1.64,242,233,187,41.89933,-89.34156
SNG26,SNG,S,S,nS,47.233,3.265,1.6445,6.7775,1.7275,185,193,113,41.89933,-89.34156
SNG27,SNG,S,S,nS,55.559,3.479,2.5935,6.42,2.121,213,220,90,41.89933,-89.34156
SNG28,SNG,S,S,nS,50.0855,2.998,1.9325,6.836,2.5055,229,227,161,41.89933,-89.34156
SNG29,SNG,S,S,nS,48.567,2.5615,1.136,6.0135,1.5285,236,184,163,41.89933,-89.34156
SNG3,SNG,S,S,nS,50.9625,2.6135,2.6895,6.1595,2.129,185,193,113,41.89933,-89.34156
SNG30,SNG,S,S,nS,48.761,2.855,2.0185,6.6945,2.327,163,191,93,41.89933,-89.34156
SNG4,SNG,S,S,nS,51.0255,3.123,2.0715,6.824,1.4155,213,225,172,41.89933,-89.34156
SNG5,SNG,S,S,nS,49.1925,2.975,1.2215,7.6045,2.0065,149,171,70,41.89933,-89.34156
SNG6,SNG,S,S,nS,45.5755,3.489,1.8725,5.744,2.8585,213,220,90,41.89933,-89.34156
SNG7,SNG,S,S,nS,45.523,2.9615,1.1625,5.528,1.6195,185,193,113,41.89933,-89.34156
SNG8,SNG,S,S,nS,49.47,3.143,1.68,6.897,1.545,242,233,187,41.89933,-89.34156
SNG9,SNG,S,S,nS,50.698,2.846,1.514,5.9785,1.22,213,225,172,41.89933,-89.34156
SOZ1,SOZ,S,S,sS,45.5295,2.444,1.0375,6.6095,1.348,248,117,131,30.68227,-101.35791
SOZ10,SOZ,S,S,sS,38.873,2.426,1.594,5.77,1.7125,223,90,141,30.68227,-101.35791
SOZ11,SOZ,S,S,sS,44.001,2.111,1.3675,6.612,1.4255,184,40,95,30.68227,-101.35791
SOZ12,SOZ,S,S,sS,44.3025,2.4755,0.678,5.4045,3.0995,248,117,131,30.68227,-101.35791
SOZ13,SOZ,S,S,sS,43.4315,2.5045,2.7885,6.421,2.677,208,55,104,30.68227,-101.35791
SOZ14,SOZ,S,S,sS,46.251,2.816,1.1525,6.851,2.552,223,90,141,30.68227,-101.35791
SOZ15,SOZ,S,S,sS,40.593,2.069,1.6185,5.43,2.929,197,56,139,30.68227,-101.35791
SOZ16,SOZ,S,S,sS,41.4795,2.634,2.6685,5.857,2.2025,208,55,104,30.68227,-101.35791
SOZ17,SOZ,S,S,sS,44.7565,2.7875,3.345,6.874,3.885,223,90,141,30.68227,-101.35791
SOZ18,SOZ,S,S,sS,41.277,2.242,1.9865,6.275,2.633,208,55,104,30.68227,-101.35791
SOZ19,SOZ,S,S,sS,44.465,2.5105,3.3685,6.4015,3.0615,223,90,141,30.68227,-101.35791
SOZ2,SOZ,S,S,sS,47.1885,2.2615,1.9075,6.534,2.2195,219,87,174,30.68227,-101.35791
SOZ20,SOZ,S,S,sS,42.017,2.269,3.808,5.849,2.442,229,95,160,30.68227,-101.35791
SOZ21,SOZ,S,S,sS,40.9135,2.571,2.918,5.6865,2.5695,208,55,104,30.68227,-101.35791
SOZ22,SOZ,S,S,sS,43.2135,2.2015,1.287,7.755,2.3305,197,56,139,30.68227,-101.35791
SOZ23,SOZ,S,S,sS,44.911,2.205,0.808,6.9995,2.9115,208,55,104,30.68227,-101.35791
SOZ24,SOZ,S,S,sS,46.8935,2.3185,2.2965,5.8455,2.1625,197,56,139,30.68227,-101.35791
SOZ25,SOZ,S,S,sS,42.795,2.579,1.8585,5.9415,2.4495,208,55,104,30.68227,-101.35791
SOZ26,SOZ,S,S,sS,41.633,2.292,2.265,5.6965,2.6605,248,117,131,30.68227,-101.35791
SOZ27,SOZ,S,S,sS,41.9135,1.9145,2.102,4.449,2.2865,184,40,95,30.68227,-101.35791
SOZ28,SOZ,S,S,sS,40.2985,2.3865,3.024,5.7855,1.6515,197,56,139,30.68227,-101.35791
SOZ29,SOZ,S,S,sS,45.2175,2.0915,2.3515,7.1005,1.9655,208,55,104,30.68227,-101.35791
SOZ3,SOZ,S,S,sS,43.271,2.3005,2.8595,5.6975,1.3545,197,56,139,30.68227,-101.35791
SOZ30,SOZ,S,S,sS,41.5785,2.6365,2.6335,5.7135,2.9195,208,55,104,30.68227,-101.35791
SOZ4,SOZ,S,S,sS,49.1165,2.6645,1.5795,8.385,1.874,208,55,104,30.68227,-101.35791
SOZ5,SOZ,S,S,sS,49.9485,2.226,1.3975,6.4565,1.7575,184,40,95,30.68227,-101.35791
SOZ6,SOZ,S,S,sS,45.1345,2.2885,1.9495,6.6895,2.303,208,55,104,30.68227,-101.35791
SOZ7,SOZ,S,S,sS,39.849,2.516,1.6075,5.6985,1.6935,248,117,131,30.68227,-101.35791
SOZ8,SOZ,S,S,sS,38.945,2.1035,1.7475,7.4625,2.2225,184,40,95,30.68227,-101.35791
SOZ9,SOZ,S,S,sS,42.2175,2.4805,2.1315,6.1895,2.432,184,40,95,30.68227,-101.35791
SPB1,SPB,S,S,wS,47.487,3.146,1.175,5.2665,0.784,216,92,107,40.8050587,-104.0132563
SPB10,SPB,S,S,wS,51.9245,2.891,1.8065,4.892,1.3085,245,134,132,40.8050587,-104.0132563
SPB11,SPB,S,S,wS,42.1025,2.7405,1.236,6.5815,1.4645,246,142,151,40.8050587,-104.0132563
SPB12,SPB,S,S,wS,46.6785,2.26,1.296,5.4415,1.3205,185,193,113,40.8050587,-104.0132563
SPB13,SPB,S,S,wS,46.1035,3.0475,0.906,6.286,1.1575,255,182,176,40.8050587,-104.0132563
SPB14,SPB,S,S,wS,48.2975,2.8165,1.731,4.2205,1.331,255,164,171,40.8050587,-104.0132563
SPB15,SPB,S,S,wS,49.4985,3.112,1.2115,5.524,1.2375,200,207,155,40.8050587,-104.0132563
SPB16,SPB,S,S,wS,45.566,2.827,1.219,5.162,1.737,248,117,131,40.8050587,-104.0132563
SPB17,SPB,S,S,wS,51.153,2.975,1.3265,6.865,0.999,218,79,79,40.8050587,-104.0132563
SPB18,SPB,S,S,wS,46.356,2.552,0.001,5.923,1.134,255,112,107,40.8050587,-104.0132563
SPB19,SPB,S,S,wS,49.7185,2.838,1.11,5.899,1.4375,255,182,176,40.8050587,-104.0132563
SPB2,SPB,S,S,wS,43.7965,3.8205,1.2975,6.788,1.9985,249,148,136,40.8050587,-104.0132563
SPB20,SPB,S,S,wS,44.622,2.8255,2.104,7.0755,1.4365,255,172,161,40.8050587,-104.0132563
SPB21,SPB,S,S,wS,48.411,3.298,0.785,6.5965,1.3715,236,184,163,40.8050587,-104.0132563
SPB22,SPB,S,S,wS,54.9715,3.241,2.0065,6.163,1.32,255,192,156,40.8050587,-104.0132563
SPB23,SPB,S,S,wS,53.0065,3.592,0.768,6.3015,1.549,242,122,108,40.8050587,-104.0132563
SPB24,SPB,S,S,wS,48.2815,3.201,1.0905,4.9505,1.915,246,142,151,40.8050587,-104.0132563
SPB25,SPB,S,S,wS,49.002,3.2525,1.1045,5.6825,1.0095,255,182,176,40.8050587,-104.0132563
SPB26,SPB,S,S,wS,49.3555,3.1215,2.216,5.509,0.981,218,79,79,40.8050587,-104.0132563
SPB27,SPB,S,S,wS,46.2565,3.443,1.341,5.6855,1.385,252,162,156,40.8050587,-104.0132563
SPB28,SPB,S,S,wS,43.005,3.2595,0.9245,5.7055,0.9445,231,94,72,40.8050587,-104.0132563
SPB29,SPB,S,S,wS,44.5315,2.7355,1.3625,5.1005,1.1815,219,66,102,40.8050587,-104.0132563
SPB3,SPB,S,S,wS,52.408,3.344,1.068,7.435,1.6775,218,79,79,40.8050587,-104.0132563
SPB30,SPB,S,S,wS,45.926,3.1655,0.79,5.195,1.7395,185,193,113,40.8050587,-104.0132563
SPB4,SPB,S,S,wS,49.175,2.8515,1.531,6.6205,1.714,252,157,147,40.8050587,-104.0132563
SPB5,SPB,S,S,wS,45.868,3.309,1.7475,4.658,1.428,245,134,132,40.8050587,-104.0132563
SPB6,SPB,S,S,wS,49.1495,2.604,2.123,5.5425,1.159,249,148,136,40.8050587,-104.0132563
SPB7,SPB,S,S,wS,55.1305,2.752,1.8045,5.972,1.385,252,162,156,40.8050587,-104.0132563
SPB8,SPB,S,S,wS,42.5345,3.4035,2.2275,7.7775,2.895,227,75,72,40.8050587,-104.0132563
SPB9,SPB,S,S,wS,42.2685,3.0315,1.519,6.068,0.947,249,138,132,40.8050587,-104.0132563
SRS1,SRS,S,S,wS,53.0425,3.4585,2.5595,6.6555,1.873,255,201,181,45.57049,-106.14788
SRS10,SRS,S,S,wS,52.551,3.193,1.086,6.6595,1.5645,163,191,93,45.57049,-106.14788
SRS11,SRS,S,S,wS,46.819,2.41,1.439,6.57,2.1315,255,164,171,45.57049,-106.14788
SRS12,SRS,S,S,wS,47.4625,2.8075,2.1475,5.443,1.872,163,191,93,45.57049,-106.14788
SRS13,SRS,S,S,wS,49.8525,3.437,1.4655,6.371,1.4645,255,133,145,45.57049,-106.14788
SRS14,SRS,S,S,wS,56.606,2.7525,2.103,6.5975,1.2725,252,162,156,45.57049,-106.14788
SRS15,SRS,S,S,wS,44.6025,3.2425,1.4835,5.406,1.4785,200,207,155,45.57049,-106.14788
SRS16,SRS,S,S,wS,52.4235,3.175,1.2275,5.957,1.193,252,162,156,45.57049,-106.14788
SRS17,SRS,S,S,wS,41.3435,2.825,1.172,5.619,1.1565,249,138,132,45.57049,-106.14788
SRS18,SRS,S,S,wS,48.733,2.8565,2.761,4.445,1.3495,245,134,132,45.57049,-106.14788
SRS19,SRS,S,S,wS,49.471,3.2285,1.0365,6.7935,1.636,185,193,113,45.57049,-106.14788
SRS2,SRS,S,S,wS,47.9705,3.7835,1.4415,7.345,1.729,252,162,156,45.57049,-106.14788
SRS20,SRS,S,S,wS,52.631,2.764,0.1445,6.4755,2.1435,163,191,93,45.57049,-106.14788
SRS21,SRS,S,S,wS,51.8435,3.5495,0.962,8.2995,1.487,255,172,161,45.57049,-106.14788
SRS22,SRS,S,S,wS,49.46,3.274,0.827,6.702,1.307,255,182,176,45.57049,-106.14788
SRS23,SRS,S,S,wS,50.5745,3.0015,2.205,6.2125,1.911,127,165,94,45.57049,-106.14788
SRS24,SRS,S,S,wS,49.6655,2.856,1.1695,5.0215,1.263,118,140,98,45.57049,-106.14788
SRS25,SRS,S,S,wS,54.1785,3.2785,2.086,5.9535,1.0465,242,233,187,45.57049,-106.14788
SRS26,SRS,S,S,wS,45.0445,3.0725,1.528,5.726,1.484,255,192,156,45.57049,-106.14788
SRS27,SRS,S,S,wS,50.1985,2.905,1.7295,6.209,1.653,255,192,156,45.57049,-106.14788
SRS28,SRS,S,S,wS,50.6575,3.211,1.9535,7.5795,1.3355,252,162,156,45.57049,-106.14788
SRS29,SRS,S,S,wS,46.1615,3.2,0.6495,6.3535,0.7265,249,138,132,45.57049,-106.14788
SRS3,SRS,S,S,wS,53.275,2.8455,1.169,5.7125,2.158,252,157,147,45.57049,-106.14788
SRS30,SRS,S,S,wS,49.015,3.1845,2.241,5.48,1.52,255,182,176,45.57049,-106.14788
SRS4,SRS,S,S,wS,50.2695,3.46,2.0665,6.0595,1.577,149,171,70,45.57049,-106.14788
SRS5,SRS,S,S,wS,47.159,3.0935,1.623,5.664,1.795,185,193,113,45.57049,-106.14788
SRS6,SRS,S,S,wS,50.571,3.07,1.1985,6.3255,1.1875,185,193,113,45.57049,-106.14788
SRS7,SRS,S,S,wS,41.6015,3.102,1.391,6.2505,1.8365,255,172,161,45.57049,-106.14788
SRS8,SRS,S,S,wS,48.2405,2.8545,1.5715,5.6835,2.713,255,192,156,45.57049,-106.14788
SRS9,SRS,S,S,wS,47.5335,3.781,1.1595,6.5005,2.669,252,162,156,45.57049,-106.14788
SSC1,SSC,S,S,nS,36.4415,3.979,0.884,6.4135,1.257,163,191,93,44.55531,-92.59423
SSC10,SSC,S,S,nS,43.0525,2.999,1.8805,6.6925,0.8915,229,227,161,44.55531,-92.59423
SSC11,SSC,S,S,nS,45.127,3.193,0.474,6.5865,1.1085,173,214,100,44.55531,-92.59423
SSC12,SSC,S,S,nS,45.08,3.4205,1.8835,5.7595,1.5105,163,191,93,44.55531,-92.59423
SSC13,SSC,S,S,nS,52.37,3.4385,1.349,8.076,1.4995,185,193,113,44.55531,-92.59423
SSC14,SSC,S,S,nS,49.962,3.1965,1.651,6.54,1.604,127,165,94,44.55531,-92.59423
SSC15,SSC,S,S,nS,39.601,2.8425,1.2875,5.818,0.99,185,193,113,44.55531,-92.59423
SSC16,SSC,S,S,nS,41.8425,3.155,1.274,5.976,1.488,185,193,113,44.55531,-92.59423
SSC17,SSC,S,S,nS,39.1685,3.1715,1.6375,4.2585,1.265,173,214,100,44.55531,-92.59423
SSC18,SSC,S,S,nS,45.748,2.9155,1.972,5.3055,0.872,185,193,113,44.55531,-92.59423
SSC19,SSC,S,S,nS,47.188,3.7415,2.48,5.767,1.4855,213,225,172,44.55531,-92.59423
SSC2,SSC,S,S,nS,43.693,3.314,2.183,6.92,1.914,213,225,172,44.55531,-92.59423
SSC20,SSC,S,S,nS,45.9435,3.6055,1.404,5.2445,1.209,229,227,161,44.55531,-92.59423
SSC21,SSC,S,S,nS,40.7965,2.965,1.6125,5.01,1.019,185,193,113,44.55531,-92.59423
SSC22,SSC,S,S,nS,47.986,3.4285,0.9325,5.502,1.2155,185,193,113,44.55531,-92.59423
SSC23,SSC,S,S,nS,47.995,2.4905,1.7385,5.4965,1.199,185,193,113,44.55531,-92.59423
SSC24,SSC,S,S,nS,45.566,2.953,0.6375,6.85,1.109,149,171,70,44.55531,-92.59423
SSC25,SSC,S,S,nS,47.4055,3.408,1.9315,6.5355,1.242,163,191,93,44.55531,-92.59423
SSC26,SSC,S,S,nS,47.156,3.6635,1.7575,5.9165,0.967,149,171,70,44.55531,-92.59423
SSC27,SSC,S,S,nS,49.943,4.3255,1.1995,6.1495,1.2345,163,191,93,44.55531,-92.59423
SSC28,SSC,S,S,nS,45.2425,3.344,2.0895,6.3305,1.1505,149,171,70,44.55531,-92.59423
SSC29,SSC,S,S,nS,46.01,3.7935,1.9295,5.689,0.9875,163,191,93,44.55531,-92.59423
SSC3,SSC,S,S,nS,41.825,3.559,1.7475,7.5715,1.5715,185,193,113,44.55531,-92.59423
SSC30,SSC,S,S,nS,37.098,2.4985,1.534,5.075,1.3155,163,191,93,44.55531,-92.59423
SSC4,SSC,S,S,nS,46.2605,3.7495,2.5165,6.126,1.5365,163,191,93,44.55531,-92.59423
SSC5,SSC,S,S,nS,43.6435,3.037,1.059,6.4635,1.195,213,225,172,44.55531,-92.59423
SSC6,SSC,S,S,nS,42.489,3.307,1.2625,5.625,1.298,173,214,100,44.55531,-92.59423
SSC7,SSC,S,S,nS,42.3115,3.5645,1.371,5.051,1.405,161,199,123,44.55531,-92.59423
SSC8,SSC,S,S,nS,43.6755,3.3295,2.427,7.284,0.9505,213,225,172,44.55531,-92.59423
