plantID,pop,year,popYear,taxa,sp,reg,nFlrs,nFrts,latN,lonW
CQL14,CQL,2019,CQL-2019,PC,C,C,21,18,33.20647,-98.15727
CQL15,CQL,2019,CQL-2019,PC,C,C,24,16,33.20647,-98.15727
CQL16,CQL,2019,CQL-2019,PC,C,C,13,13,33.20647,-98.15727
CQL17,CQL,2019,CQL-2019,PC,C,C,17,7,33.20647,-98.15727
CQL18,CQL,2019,CQL-2019,PC,C,C,24,15,33.20647,-98.15727
CQL19,CQL,2019,CQL-2019,PC,C,C,23,17,33.20647,-98.15727
CQL20,CQL,2019,CQL-2019,PC,C,C,28,25,33.20647,-98.15727
CQL21,CQL,2019,CQL-2019,PC,C,C,20,14,33.20647,-98.15727
CQL22,CQL,2019,CQL-2019,PC,C,C,21,16,33.20647,-98.15727
CQL23,CQL,2019,CQL-2019,PC,C,C,19,13,33.20647,-98.15727
CQL24,CQL,2019,CQL-2019,PC,C,C,19,17,33.20647,-98.15727
CQL25,CQL,2019,CQL-2019,PC,C,C,34,23,33.20647,-98.15727
CQL26,CQL,2019,CQL-2019,PC,C,C,16,14,33.20647,-98.15727
CQL27,CQL,2019,CQL-2019,PC,C,C,25,20,33.20647,-98.15727
CQL28,CQL,2019,CQL-2019,PC,C,C,28,25,33.20647,-98.15727
CQL29,CQL,2019,CQL-2019,PC,C,C,36,31,33.20647,-98.15727
CQL30,CQL,2019,CQL-2019,PC,C,C,26,20,33.20647,-98.15727
LMN01,LMN,2019,LMN-2019,PC,L,L,20,15,31.33261,-97.46821
LMN02,LMN,2019,LMN-2019,PC,L,L,28,22,31.33261,-97.46821
LMN03,LMN,2019,LMN-2019,PC,L,L,41,29,31.33261,-97.46821
LMN04,LMN,2019,LMN-2019,PC,L,L,14,8,31.33261,-97.46821
LMN05,LMN,2019,LMN-2019,PC,L,L,23,18,31.33261,-97.46821
LMN06,LMN,2019,LMN-2019,PC,L,L,28,9,31.33261,-97.46821
LMN07,LMN,2019,LMN-2019,PC,L,L,24,13,31.33261,-97.46821
LMN08,LMN,2019,LMN-2019,PC,L,L,23,22,31.33261,-97.46821
LMN09,LMN,2019,LMN-2019,PC,L,L,27,24,31.33261,-97.46821
LMN10,LMN,2019,LMN-2019,PC,L,L,20,13,31.33261,-97.46821
LMN11,LMN,2019,LMN-2019,PC,L,L,30,6,31.33261,-97.46821
LMN12,LMN,2019,LMN-2019,PC,L,L,12,11,31.33261,-97.46821
LMN13,LMN,2019,LMN-2019,PC,L,L,16,13,31.33261,-97.46821
LMN14,LMN,2019,LMN-2019,PC,L,L,11,5,31.33261,-97.46821
LMN15,LMN,2019,LMN-2019,PC,L,L,30,21,31.33261,-97.46821
LMN16,LMN,2019,LMN-2019,PC,L,L,34,23,31.33261,-97.46821
LMN17,LMN,2019,LMN-2019,PC,L,L,14,11,31.33261,-97.46821
LMN18,LMN,2019,LMN-2019,PC,L,L,29,15,31.33261,-97.46821
LMN19,LMN,2019,LMN-2019,PC,L,L,11,10,31.33261,-97.46821
LMN20,LMN,2019,LMN-2019,PC,L,L,39,27,31.33261,-97.46821
LMN21,LMN,2019,LMN-2019,PC,L,L,30,26,31.33261,-97.46821
LMN22,LMN,2019,LMN-2019,PC,L,L,29,23,31.33261,-97.46821
LMN23,LMN,2019,LMN-2019,PC,L,L,17,16,31.33261,-97.46821
LMN24,LMN,2019,LMN-2019,PC,L,L,29,17,31.33261,-97.46821
LMN25,LMN,2019,LMN-2019,PC,L,L,22,18,31.33261,-97.46821
LMN26,LMN,2019,LMN-2019,PC,L,L,26,20,31.33261,-97.46821
LMN27,LMN,2019,LMN-2019,PC,L,L,28,27,31.33261,-97.46821
LMN28,LMN,2019,LMN-2019,PC,L,L,28,14,31.33261,-97.46821
LMN29,LMN,2019,LMN-2019,PC,L,L,22,11,31.33261,-97.46821
LMN30,LMN,2019,LMN-2019,PC,L,L,27,25,31.33261,-97.46821
LMN31,LMN,2019,LMN-2019,PC,L,L,15,13,31.33261,-97.46821
LRR01,LRR,2019,LRR-2019,PC,L,L,54,25,30.61922,-98.07169
LRR02,LRR,2019,LRR-2019,PC,L,L,35,17,30.61922,-98.07169
LRR03,LRR,2019,LRR-2019,PC,L,L,15,6,30.61922,-98.07169
LRR04,LRR,2019,LRR-2019,PC,L,L,19,15,30.61922,-98.07169
LRR05,LRR,2019,LRR-2019,PC,L,L,18,15,30.61922,-98.07169
LRR06,LRR,2019,LRR-2019,PC,L,L,25,12,30.61922,-98.07169
LRR07,LRR,2019,LRR-2019,PC,L,L,17,14,30.61922,-98.07169
LRR08,LRR,2019,LRR-2019,PC,L,L,29,26,30.61922,-98.07169
LRR09,LRR,2019,LRR-2019,PC,L,L,15,13,30.61922,-98.07169
LRR10,LRR,2019,LRR-2019,PC,L,L,22,18,30.61922,-98.07169
LRR11,LRR,2019,LRR-2019,PC,L,L,24,18,30.61922,-98.07169
LRR12,LRR,2019,LRR-2019,PC,L,L,46,27,30.61922,-98.07169
LRR13,LRR,2019,LRR-2019,PC,L,L,27,18,30.61922,-98.07169
