"","popYr","year","pop","dataset","ct_other","ct_bumble_lg_bee","ct_butterfly_all","ct_hawkmoth","ct_small_med_bee","ct_hummingbird","pr_other","pr_bumble_lg_bee","pr_butterfly_all","pr_hawkmoth","pr_small_med_bee","pr_hummingbird","rt_other","rt_bumble_lg_bee","rt_butterfly_all","rt_hawkmoth","rt_small_med_bee","rt_hummingbird","taxa","sp","reg1","reg2","corL","corW","stigma","lipL","brLbW","red","green","blue","latN","lonW","visTotal","avgFlrs","avgFrts","avgFrtSet","ct_ShDiv","ct_InvSimpD","colCat","nectarVol","nectarSucPerc","nectarN","logInvSimpD","hex","nmds1","nmds2","pch_ind"
"21","SBL-2018","""2018""","SBL","focal_narrow",0,0,0,69,0,0,0,0,0,1,0,0,0,0,0,1.5,0,0,"S","S","sS","wS",46.19375,3.112785714,1.530517857,5.565446429,1.681267857,203.1428571,148.3928571,107.6785714,33.34243,-104.333,69,NA,NA,NA,0,1,"peach",NA,NA,NA,0,"#cb946c",0.349295870332999,0.0723481939655628,21
"22","SBL-2019","""2019""","SBL","focal_narrow",0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0.051948052,0,0,"S","S","sS","wS",46.19375,3.112785714,1.530517857,5.565446429,1.681267857,203.1428571,148.3928571,107.6785714,33.34243,-104.333,4,21.19354839,14.80645161,0.69344487,0,1,"peach",NA,NA,NA,0,"#cb946c",0.349295938263754,0.0723482211278053,21
"23","SCL-2018","""2018""","SCL","focal_narrow",0,0,0,66,50,0,0,0,0,0.568965517,0.431034483,0,0,0,0,0.492537313,0.373134328,0,"S","S","sS","wS",44.1934,2.90535,1.597916667,5.58215,1.486716667,233,150.8333333,130.0666667,33.5655,-101.80032,116,NA,NA,NA,0.683604301,1.962660443,"peach",NA,NA,NA,0.674300921727623,"#e99782",0.328292592458668,0.0452895112648176,21
"24","SCL-2019","""2019""","SCL","focal_narrow",0,0,0,46,2,0,0,0,0,0.958333333,0.041666667,0,0,0,0,0.630136986,0.02739726,0,"S","S","sS","wS",44.1934,2.90535,1.597916667,5.58215,1.486716667,233,150.8333333,130.0666667,33.5655,-101.80032,48,22,13.76666667,0.607935668,0.173205207,1.086792453,"peach",6.415176258,24.40909091,22,0.0832306543059737,"#e99782",0.328292591406076,0.0452895086568369,21
"25","SDCR-2017","""2017""","SDCR","focal_narrow",0,0,0,106,78,0,0,0,0,0.576086957,0.423913043,0,0,0,0,1.766666667,1.3,0,"S","S","sS","wS",46.19153571,3.049642857,1.246196429,5.869142857,1.443553571,232.9285714,140.7857143,129.3571429,37.75643,-103.59391,184,NA,NA,NA,0.681523625,1.954734411,"peach",NA,NA,NA,0.670254333057831,"#e98d81",0.427888516578854,0.136754245106772,21
"26","SFP-2018","""2018""","SFP","focal_narrow",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"S","S","nS","nS",41.25715,2.839633333,1.521466667,5.382016667,2.598333333,141.9,162.4666667,62.36666667,47.05173,-96.427291,0,27.6,19.23333333,0.719169364,0,NA,"green",NA,NA,NA,NA,"#8ea23e",0.372625479019858,-0.228583053782903,21
"27","SFP-2019","""2019""","SFP","focal_narrow",3,16,0,0,35,0,0.055555556,0.296296296,0,0,0.648148148,0,0.039473684,0.210526316,0,0,0.460526316,0,"S","S","nS","nS",41.25715,2.839633333,1.521466667,5.382016667,2.598333333,141.9,162.4666667,62.36666667,47.05173,-96.427291,54,NA,NA,NA,0.802049999,1.95704698,"green",NA,NA,NA,0.671436694257631,"#8ea23e",0.372625484179625,-0.228583056424883,21
"28","SIC-2017","""2017""","SIC","focal_narrow",54,0,100,53,85,0,0.184931507,0,0.342465753,0.181506849,0.29109589,0,0.710526316,0,1.315789474,0.697368421,1.118421053,0,"S","S","sS","sS",29.92193333,2.516483333,1.547466667,4.56895,2.4925,225.1333333,105.3,153.7,30.486035,-101.7882521,292,NA,NA,NA,1.348079195,3.715206972,"pink",NA,NA,NA,1.31243438913466,"#e1699a",0.047454417164573,0.123373808194758,21
"29","SIC-2018","""2018""","SIC","focal_narrow",1,0,0,0,12,0,0.076923077,0,0,0,0.923076923,0,0.047619048,0,0,0,0.571428571,0,"S","S","sS","sS",29.92193333,2.516483333,1.547466667,4.56895,2.4925,225.1333333,105.3,153.7,30.486035,-101.7882521,13,NA,NA,NA,0.271189373,1.165517241,"pink",NA,NA,NA,0.153164972177055,"#e1699a",0.0474544171646017,0.123373808194801,21
"30","SIC-2019","""2019""","SIC","focal_narrow",6,0,2,53,20,0,0.074074074,0,0.024691358,0.654320988,0.24691358,0,0.063157895,0,0.021052632,0.557894737,0.210526316,0,"S","S","sS","sS",29.92193333,2.516483333,1.547466667,4.56895,2.4925,225.1333333,105.3,153.7,30.486035,-101.7882521,81,18.06451613,12.06451613,0.688581044,0.907079179,2.019390582,"pink",3.019469915,28.965,20,0.702795773815695,"#e1699a",0.0474544151840018,0.123373805198466,21
"31","SILB-2017","""2017""","SILB","focal_narrow",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"S","S","nS","nS",51.9256,3.008166667,1.803966667,6.935766667,1.340633333,188.6,199.0333333,107.8,42.44124,-87.80295,0,48.63333333,9.366666667,0.190523044,0,NA,"green",NA,NA,NA,NA,"#bdc76c",0.556256036312942,-0.0824247718694703,21
"32","SILB-2018","""2018""","SILB","focal_narrow",0,0,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0.057471264,0,"S","S","nS","nS",51.9256,3.008166667,1.803966667,6.935766667,1.340633333,188.6,199.0333333,107.8,42.44124,-87.80295,10,37.7,10.9,0.299587169,0,1,"green",NA,NA,NA,0,"#bdc76c",0.556256016702534,-0.0824247489274913,21
"33","SMP-2017","""2017""","SMP","focal_narrow",0,5,0,70,32,0,0,0.046728972,0,0.654205607,0.299065421,0,0,0.047619048,0,0.666666667,0.304761905,0,"S","S","sS","sS",30.81805,2.54545,1.86145,4.901066667,2.604,234.7,215.4333333,57.33333333,32.2852116,-100.7884505,107,NA,NA,NA,0.781750279,1.92452513,"yellow",NA,NA,NA,0.654679251593536,"#ebd739",0.0637724080525361,-0.237915252387468,21
"34","SMP-2018","""2018""","SMP","focal_narrow",0,17,0,6,10,0,0,0.515151515,0,0.181818182,0.303030303,0,0,0.153153153,0,0.054054054,0.09009009,0,"S","S","sS","sS",30.81805,2.54545,1.86145,4.901066667,2.604,234.7,215.4333333,57.33333333,32.2852116,-100.7884505,33,NA,NA,NA,1.013445907,2.562352941,"yellow",NA,NA,NA,0.940925953939673,"#ebd739",0.0637724080528514,-0.237915252387396,21
"35","SMP-2019","""2019""","SMP","focal_narrow",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.002994012,0,0,"S","S","sS","sS",30.81805,2.54545,1.86145,4.901066667,2.604,234.7,215.4333333,57.33333333,32.2852116,-100.7884505,1,30.26666667,12.96666667,0.431166311,0,1,"yellow",3.335882192,30.36363636,11,0,"#ebd739",0.0637723580321244,-0.237915266107485,21
"36","SNRM-2018","""2018""","SNRM","focal_narrow",1,0,0,0,23,0,0.041666667,0,0,0,0.958333333,0,0.04,0,0,0,0.92,0,"S","S","nS","nS",49.68093333,3.149716667,1.759966667,6.487066667,1.882333333,213,209.5,146.4333333,41.87068,-89.34495,24,19.86666667,3.8,0.247493435,0.173205207,1.086792453,"green",NA,NA,NA,0.0832306543059737,"#d5d292",0.42868737956415,-0.00543008926471763,21
"37","SNRM-2019","""2019""","SNRM","focal_narrow",1,62,0,0,165,0,0.004385965,0.271929825,0,0,0.723684211,0,0.007936508,0.492063492,0,0,1.30952381,0,"S","S","nS","nS",49.68093333,3.149716667,1.759966667,6.487066667,1.882333333,213,209.5,146.4333333,41.87068,-89.34495,228,NA,NA,NA,0.61196258,1.673125201,"green",5.815744878,17.2,10,0.514693255426952,"#d5d292",0.428687377547431,-0.00543006229318633,21
"40","SPB-2017","""2017""","SPB","focal_narrow",0,0,0,0,25,0,0,0,0,0,1,0,0,0,0,0,0.213675214,0,"S","S","nS","wS",47.75283333,3.04855,1.360966667,5.89625,1.398266667,237.1,141.1,130.8333333,40.8050587,-104.0132563,25,NA,NA,NA,0,1,"peach",NA,NA,NA,0,"#ed8d83",0.420919278091872,0.130332307051873,21
"41","SRS-2017","""2017""","SRS","focal_narrow",0,0,0,0,36,0,0,0,0,0,1,0,0,0,0,0,0.514285714,0,"S","S","nS","nS",49.29858333,3.122416667,1.5199,6.20235,1.617783333,222.8333333,174.2333333,139.4666667,45.57049,-106.14788,36,NA,NA,NA,0,1,"peach",NA,NA,NA,0,"#dfae8b",0.425038510501216,0.0565957352450045,21
"42","SSC-2017","""2017""","SSC","focal_narrow",0,0,0,0,28,0,0,0,0,0,1,0,0,0,0,0,0.345679012,0,"S","S","nS","nS",44.6491,3.3173,1.585066667,6.099666667,1.26815,179,198.2333333,113.5,44.55531,-92.59423,28,NA,NA,NA,0,1,"green",NA,NA,NA,0,"#b3c672",0.507556218456252,-0.00784323382046396,21
"43","SSC-2018","""2018""","SSC","focal_narrow",0,0,0,0,24,0,0,0,0,0,1,0,0,0,0,0,0.96,0,"S","S","nS","nS",44.6491,3.3173,1.585066667,6.099666667,1.26815,179,198.2333333,113.5,44.55531,-92.59423,24,33.73333333,18.73333333,0.543016293,0,1,"green",NA,NA,NA,0,"#b3c672",0.507556218446424,-0.00784323381900668,21
"44","SYH-2018","""2018""","SYH","focal_narrow",0,0,0,9,46,0,0,0,0,0.163636364,0.836363636,0,0,0,0,0.428571429,2.19047619,0,"S","S","sS","sS",36.21312069,2.549241379,0.904724138,4.585275862,1.722672414,241.1724138,128.5517241,120.0689655,32.03469,-104.4479,55,NA,NA,NA,0.445650905,1.37687756,"peach",NA,NA,NA,0.319818297855538,"#f18178",0.349420716347471,0.249963453351154,21
"45","SYH-2019","""2019""","SYH","focal_narrow",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.011627907,0,"S","S","sS","sS",36.21312069,2.549241379,0.904724138,4.585275862,1.722672414,241.1724138,128.5517241,120.0689655,32.03469,-104.4479,1,20.36666667,10.9,0.536363516,0,1,"peach",NA,NA,NA,0,"#f18178",0.349420685209234,0.249963421259772,21
"46","CHCL-2019-nf","""2019""","CHCL","nonfocal_wide",1,163,51,13,0,34,0.003816794,0.622137405,0.194656489,0.049618321,0,0.129770992,0.00063385,0.103317572,0.032326357,0.008240052,0,0.021550905,"PC","C","C","C",30.88828333,3.28105,2.190133333,4.940383333,5.047766667,242.4333333,223.4,45,31.82479,-99.55632,262,NA,NA,NA,1.049088819,2.250918153,"yellow",NA,NA,NA,0.811338200979226,"#f2df2d",-0.199887293610938,-0.205967383772997,23
"47","CLA-2019-nf","""2019""","CLA","nonfocal_wide",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PC","C","C","C",28.06486667,3.036033333,2.1353,4.155333333,6.144833333,244.3333333,222.6666667,44.6,33.75562,-98.3829,0,15.96774194,3.483870968,0.200698137,0,NA,"yellow",4.036743183,23.47368421,19,NA,"#f4df2d",-0.299814529385636,-0.352982910749955,23
"48","CMSC-2019-nf","""2019""","CMSC","nonfocal_wide",0,0,0,13,3,0,0,0,0,0.8125,0.1875,0,0,0,0,0.060532688,0.013969082,0,"PC","C","C","C",34.71851667,3.181433333,1.8928,5.2433,3.87135,238.7666667,225.3,68.33333333,34.73168,-98.56844,16,12.16666667,6.133333333,0.482574072,0.482577565,1.438202247,"yellow",NA,NA,NA,0.363393894054665,"#efe144",-0.00926231676569006,-0.113113184223383,23
"49","CQL-2019-nf","""2019""","CQL","nonfocal_wide",0,67,0,0,7,29,0,0.650485437,0,0,0.067961165,0.281553398,0,0.046644389,0,0,0.004873294,0.020189362,"PC","C","C","C",27.15438333,3.3095,2.073033333,4.230866667,6.029266667,240.6,225.8333333,65.4,33.20647,-98.15727,103,23.13333333,18.8,0.808517793,0.819317769,1.972299684,"yellow",1.963227659,46.25,4,0.679200214208274,"#f1e241",-0.235263040589509,-0.348778854146524,23
"50","LMN-2019-nf","""2019""","LMN","nonfocal_wide",0,0,0,0,0,209,0,0,0,0,0,1,0,0,0,0,0,0.452087389,"PC","L","L","L",37.66555,2.984916667,3.187483333,5.0167,6.882233333,242.7,88.63333333,26.93333333,31.33261,-97.46821,209,24.09677419,16.93548387,0.714566318,0,1,"red",NA,NA,NA,0,"#f3591b",-0.493343039333891,-0.0912883201632194,24
"51","LRR-2019-nf","""2019""","LRR","nonfocal_wide",0,0,110,0,0,123,0,0,0.472103004,0,0,0.527896996,0,0,0.090347592,0,0,0.101025034,"PC","L","L","L",34.02525862,2.859051724,2.250275862,3.925241379,6.560689655,246,83.75862069,31.55172414,30.61922,-98.07169,233,22.63333333,15.7,0.74073475,0.691589887,1.993793382,"red",9.385486024,30.61904762,21,0.690039046311159,"#f65420",-0.493281118720222,-0.132264342056238,24
"52","LVH-2019-nf","""2019""","LVH","nonfocal_wide",2,0,5,3,1,44,0.036363636,0,0.090909091,0.054545455,0.018181818,0.8,0.00443828,0,0.0110957,0.00665742,0.00221914,0.097642164,"PC","L","L","L",33.73236667,2.806983333,2.569183333,4.422033333,5.33735,239.2666667,60.3,28.6,30.2759,-97.8971,55,19.83333333,16.23333333,0.830771502,0.748539282,1.53164557,"red",4.799608771,32.56818182,22,0.426342693377653,"#ef3c1d",-0.52507853569051,3.74736186099607e-05,24
"53","PCM-2019-nf","""2019""","PCM","nonfocal_wide",0,59,7,21,0,2,0,0.662921348,0.078651685,0.235955056,0,0.02247191,0,0.097902562,0.011615558,0.034846675,0,0.003318731,"PC","P","P","P",30.58203333,3.837766667,2.739916667,5.046566667,4.535666667,193.9,48.3,118.6666667,33.31087,-96.24411,89,17.87096774,9.64516129,0.523397854,0.898553833,1.992704403,"purple",3.706744019,26.216,25,0.689492712618872,"#c23077",-0.363948276505878,0.4302077484125,22
"54","PMT-2019-nf","""2019""","PMT","nonfocal_wide",0,0,7,0,0,115,0,0,0.057377049,0,0,0.942622951,0,0,0.00335249,0,0,0.055076628,"PC","P","P","P",31.4571,3.137933333,2.145416667,3.989316667,5.301283333,209.0333333,63.2,99.7,31.88892,-97.69912,122,32.66666667,22.3,0.67320652,0.219688538,1.121289739,"purple",NA,NA,NA,0.114479575457364,"#d13f64",-0.31836110478709,0.113259341773495,22
"55","PTH-2019-nf","""2019""","PTH","nonfocal_wide",19,4,94,48,8,24,0.096446701,0.020304569,0.47715736,0.243654822,0.040609137,0.121827411,0.002495403,0.000525348,0.012345679,0.006304177,0.001050696,0.003152088,"PC","P","P","P",32.32156667,3.47815,2.332433333,4.682616667,5.608483333,188.4,52.66666667,134.2,32.74596,-97.27286,197,33.58064516,18.5483871,0.550197256,1.388352458,3.192317184,"purple",6.332495879,27.47368421,19,1.1607470430719,"#bc3586",-0.34199794491592,0.280872609192792,22
"56","PTMS-2019-nf","""2019""","PTMS","nonfocal_wide",1,0,6,0,3,0,0.1,0,0.6,0,0.3,0,0.000278023,0,0.00166814,0,0.00083407,0,"PC","P","P","P",32.20373333,3.51825,1.769816667,4.493983333,4.664233333,177,44.76666667,115,36.1815,-95.8168383,10,NA,NA,NA,0.897945725,2.173913043,"purple",NA,NA,NA,0.776528789278996,"#b12d73",-0.266592884566488,0.402341408050387,22
"57","SBL-2019-nf","""2019""","SBL","nonfocal_wide",0,0,0,29,0,0,0,0,0,1,0,0,0,0,0,0.443086325,0,0,"S","S","sS","wS",46.19375,3.112785714,1.530517857,5.565446429,1.681267857,203.1428571,148.3928571,107.6785714,33.34243,-104.333,29,21.19354839,14.80645161,0.69344487,0,1,"peach",NA,NA,NA,0,"#cb946c",0.349295938263814,0.0723482211278349,21
"58","SCL-2019-nf","""2019""","SCL","nonfocal_wide",0,2,0,16,0,0,0,0.111111111,0,0.888888889,0,0,0,0.014300014,0,0.114400114,0,0,"S","S","sS","wS",44.1934,2.90535,1.597916667,5.58215,1.486716667,233,150.8333333,130.0666667,33.5655,-101.80032,18,22,13.76666667,0.607935668,0.348832096,1.246153846,"peach",6.415176258,24.40909091,22,0.220061884653345,"#e99782",0.328292591415636,0.0452895086765542,21
"59","SFP-2019-nf","""2019""","SFP","nonfocal_wide",1,96,0,0,4,0,0.00990099,0.95049505,0,0,0.03960396,0,0.00621311,0.596458527,0,0,0.024852439,0,"S","S","nS","nS",41.25715,2.839633333,1.521466667,5.382016667,2.598333333,141.9,162.4666667,62.36666667,47.05173,-96.427291,101,NA,NA,NA,0.22182741,1.10484133,"green",NA,NA,NA,0.0997017318991077,"#8ea23e",0.372625483423195,-0.228583056044478,21
"60","SIC-2019-nf","""2019""","SIC","nonfocal_wide",0,0,3,49,0,0,0,0,0.057692308,0.942307692,0,0,0,0,0.007177033,0.11722488,0,0,"S","S","sS","sS",29.92193333,2.516483333,1.547466667,4.56895,2.4925,225.1333333,105.3,153.7,30.486035,-101.7882521,52,18.06451613,12.06451613,0.688581044,0.220570036,1.121991701,"pink",3.019469915,28.965,20,0.115105410459959,"#e1699a",0.0474544151847986,0.12337380519838,21
"61","SMP-2019-nf","""2019""","SMP","nonfocal_wide",0,105,0,0,0,0,0,1,0,0,0,0,0,0.04207405,0,0,0,0,"S","S","sS","sS",30.81805,2.54545,1.86145,4.901066667,2.604,234.7,215.4333333,57.33333333,32.2852116,-100.7884505,105,30.26666667,12.96666667,0.431166311,0,1,"yellow",3.335882192,30.36363636,11,0,"#ebd739",0.0637724080525361,-0.237915252387468,21
"62","SNRM-2019-nf","""2019""","SNRM","nonfocal_wide",0,14,0,0,7,0,0,0.666666667,0,0,0.333333333,0,0,0.114379085,0,0,0.057189542,0,"S","S","nS","nS",49.68093333,3.149716667,1.759966667,6.487066667,1.882333333,213,209.5,146.4333333,41.87068,-89.34495,21,NA,NA,NA,0.636514168,1.8,"green",5.815744878,17.2,10,0.587786664902119,"#d5d292",0.42868737956415,-0.0054300892647259,21
