"","popYr","year","pop","dataset","ct_other","ct_bumble_lg_bee","ct_butterfly_all","ct_hawkmoth","ct_small_med_bee","ct_hummingbird","pr_other","pr_bumble_lg_bee","pr_butterfly_all","pr_hawkmoth","pr_small_med_bee","pr_hummingbird","rt_other","rt_bumble_lg_bee","rt_butterfly_all","rt_hawkmoth","rt_small_med_bee","rt_hummingbird","taxa","sp","reg1","reg2","corL","corW","stigma","lipL","brLbW","red","green","blue","latN","lonW","visTotal"
"37","SNRM-2019","2019","SNRM","focal_narrow",1,62,0,0,165,0,0.0043859649122807,0.271929824561404,0,0,0.723684210526316,0,0.00793650793650794,0.492063492063492,0,0,1.30952380952381,0,"S","S","nS","nS",49.6809333333333,3.14971666666667,1.75996666666667,6.48706666666667,1.88233333333333,213,209.5,146.433333333333,41.89933,-89.34156,228
"38","SNRS-2017","2017","SNRS","focal_narrow",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"39","SNRS-2018","2018","SNRS","focal_narrow",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"40","SPB-2017","2017","SPB","focal_narrow",0,0,0,0,25,0,0,0,0,0,1,0,0,0,0,0,0.213675213675214,0,"S","S","nS","wS",47.7528333333333,3.04855,1.36096666666667,5.89625,1.39826666666667,237.1,141.1,130.833333333333,40.8050587,-104.0132563,25
"41","SRS-2017","2017","SRS","focal_narrow",0,0,0,0,36,0,0,0,0,0,1,0,0,0,0,0,0.514285714285714,0,"S","S","nS","nS",49.2985833333333,3.12241666666667,1.5199,6.20235,1.61778333333333,222.833333333333,174.233333333333,139.466666666667,45.57049,-106.14788,36
"42","SSC-2017","2017","SSC","focal_narrow",0,0,0,0,28,0,0,0,0,0,1,0,0,0,0,0,0.345679012345679,0,"S","S","nS","nS",44.6491,3.3173,1.58506666666667,6.09966666666667,1.26815,179,198.233333333333,113.5,44.55531,-92.59423,28
"43","SSC-2018","2018","SSC","focal_narrow",0,0,0,0,24,0,0,0,0,0,1,0,0,0,0,0,0.96,0,"S","S","nS","nS",44.6491,3.3173,1.58506666666667,6.09966666666667,1.26815,179,198.233333333333,113.5,44.55531,-92.59423,24
"44","SYH-2018","2018","SYH","focal_narrow",0,0,0,9,46,0,0,0,0,0.163636363636364,0.836363636363636,0,0,0,0,0.428571428571429,2.19047619047619,0,"S","S","sS","sS",36.2131206896552,2.54924137931034,0.904724137931034,4.58527586206897,1.7226724137931,241.172413793103,128.551724137931,120.068965517241,32.03469,-104.4479,55
"45","SYH-2019","2019","SYH","focal_narrow",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.0116279069767442,0,"S","S","sS","sS",36.2131206896552,2.54924137931034,0.904724137931034,4.58527586206897,1.7226724137931,241.172413793103,128.551724137931,120.068965517241,32.03469,-104.4479,1
"46","CHCL-2019-nf","2019","CHCL","nonfocal_wide",1,163,51,13,0,34,0.00381679389312977,0.622137404580153,0.194656488549618,0.049618320610687,0,0.129770992366412,0.000633850132474678,0.103317571593372,0.0323263567562086,0.00824005172217081,0,0.021550904504139,"PC","C","C","C",30.8882833333333,3.28105,2.19013333333333,4.94038333333333,5.04776666666667,242.433333333333,223.4,45,31.82479,-99.55632,262
"47","CLA-2019-nf","2019","CLA","nonfocal_wide",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PC","C","C","C",28.0648666666667,3.03603333333333,2.1353,4.15533333333333,6.14483333333333,244.333333333333,222.666666666667,44.6,33.75562,-98.3829,0
"48","CMSC-2019-nf","2019","CMSC","nonfocal_wide",0,0,0,13,3,0,0,0,0,0.8125,0.1875,0,0,0,0,0.0605326876513317,0.0139690817656919,0,"PC","C","C","C",34.7185166666667,3.18143333333333,1.8928,5.2433,3.87135,238.766666666667,225.3,68.3333333333333,34.73168,-98.56844,16
"49","CQL-2019-nf","2019","CQL","nonfocal_wide",0,67,0,0,7,29,0,0.650485436893204,0,0,0.0679611650485437,0.281553398058252,0,0.0466443887496519,0,0,0.00487329434697856,0.0201893622946255,"PC","C","C","C",27.1543833333333,3.3095,2.07303333333333,4.23086666666667,6.02926666666667,240.6,225.833333333333,65.4,33.20647,-98.15727,103
"50","LMN-2019-nf","2019","LMN","nonfocal_wide",0,0,0,0,0,209,0,0,0,0,0,1,0,0,0,0,0,0.45208738914125,"PC","L","L","L",37.66555,2.98491666666667,3.18748333333333,5.0167,6.88223333333333,242.7,88.6333333333333,26.9333333333333,31.33261,-97.46821,209
"51","LRR-2019-nf","2019","LRR","nonfocal_wide",0,0,110,0,0,123,0,0,0.472103004291845,0,0,0.527896995708155,0,0,0.090347591826007,0,0,0.101025034496353,"PC","L","L","L",34.0252586206897,2.85905172413793,2.25027586206897,3.92524137931034,6.56068965517241,246,83.7586206896552,31.551724137931,30.61922,-98.07169,233
"52","LVH-2019-nf","2019","LVH","nonfocal_wide",2,0,5,3,1,44,0.0363636363636364,0,0.0909090909090909,0.0545454545454545,0.0181818181818182,0.8,0.00443828016643551,0,0.0110957004160888,0.00665742024965326,0.00221914008321775,0.0976421636615811,"PC","L","L","L",33.7323666666667,2.80698333333333,2.56918333333333,4.42203333333333,5.33735,239.266666666667,60.3,28.6,30.2759,-97.8971,55
"53","PCM-2019-nf","2019","PCM","nonfocal_wide",0,59,7,21,0,2,0,0.662921348314607,0.0786516853932584,0.235955056179775,0,0.0224719101123595,0,0.0979025620602682,0.0116155582105403,0.0348466746316209,0,0.00331873091729723,"PC","P","P","P",30.5820333333333,3.83776666666667,2.73991666666667,5.04656666666667,4.53566666666667,193.9,48.3,118.666666666667,33.31087,-96.24411,89
"54","PMT-2019-nf","2019","PMT","nonfocal_wide",0,0,7,0,0,115,0,0,0.0573770491803279,0,0,0.942622950819672,0,0,0.00335249042145594,0,0,0.0550766283524904,"PC","P","P","P",31.4571,3.13793333333333,2.14541666666667,3.98931666666667,5.30128333333333,209.033333333333,63.2,99.7,31.88892,-97.69912,122
"55","PTH-2019-nf","2019","PTH","nonfocal_wide",19,4,94,48,8,24,0.0964467005076142,0.0203045685279188,0.477157360406091,0.243654822335025,0.0406091370558376,0.121827411167513,0.00249540320462306,0.00052534804307854,0.0123456790123457,0.00630417651694247,0.00105069608615708,0.00315208825847124,"PC","P","P","P",32.3215666666667,3.47815,2.33243333333333,4.68261666666667,5.60848333333333,188.4,52.6666666666667,134.2,32.74596,-97.27286,197
"56","PTMS-2019-nf","2019","PTMS","nonfocal_wide",1,0,6,0,3,0,0.1,0,0.6,0,0.3,0,0.000278023365083602,0,0.00166814019050161,0,0.000834070095250805,0,"PC","P","P","P",32.2037333333333,3.51825,1.76981666666667,4.49398333333333,4.66423333333333,177,44.7666666666667,115,36.1815,-95.8168383,10
"57","SBL-2019-nf","2019","SBL","nonfocal_wide",0,0,0,29,0,0,0,0,0,1,0,0,0,0,0,0.443086325439267,0,0,"S","S","sS","wS",46.19375,3.11278571428571,1.53051785714286,5.56544642857143,1.68126785714286,203.142857142857,148.392857142857,107.678571428571,33.34243,-104.333,29
"58","SCL-2019-nf","2019","SCL","nonfocal_wide",0,2,0,16,0,0,0,0.111111111111111,0,0.888888888888889,0,0,0,0.0143000143000143,0,0.114400114400114,0,0,"S","S","sS","wS",44.1934,2.90535,1.59791666666667,5.58215,1.48671666666667,233,150.833333333333,130.066666666667,33.5655,-101.80032,18
"59","SFP-2019-nf","2019","SFP","nonfocal_wide",1,96,0,0,4,0,0.0099009900990099,0.95049504950495,0,0,0.0396039603960396,0,0.00621310966138552,0.59645852749301,0,0,0.0248524386455421,0,"S","S","nS","nS",41.25715,2.83963333333333,1.52146666666667,5.38201666666667,2.59833333333333,141.9,162.466666666667,62.3666666666667,47.05173,-96.427291,101
"60","SIC-2019-nf","2019","SIC","nonfocal_wide",0,0,3,49,0,0,0,0,0.0576923076923077,0.942307692307692,0,0,0,0,0.00717703349282297,0.117224880382775,0,0,"S","S","sS","sS",29.9219333333333,2.51648333333333,1.54746666666667,4.56895,2.4925,225.133333333333,105.3,153.7,30.486035,-101.7882521,52
"61","SMP-2019-nf","2019","SMP","nonfocal_wide",0,105,0,0,0,0,0,1,0,0,0,0,0,0.0420740503285783,0,0,0,0,"S","S","sS","sS",30.81805,2.54545,1.86145,4.90106666666667,2.604,234.7,215.433333333333,57.3333333333333,32.2852116,-100.7884505,105
"62","SNRM-2019-nf","2019","SNRM","nonfocal_wide",0,14,0,0,7,0,0,0.666666666666667,0,0,0.333333333333333,0,0,0.11437908496732,0,0,0.0571895424836601,0,"S","S","nS","nS",49.6809333333333,3.14971666666667,1.75996666666667,6.48706666666667,1.88233333333333,213,209.5,146.433333333333,41.89933,-89.34156,21
"63","SYH-2019-nf","2019","SYH","nonfocal_wide",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"S","S","sS","sS",36.2131206896552,2.54924137931034,0.904724137931034,4.58527586206897,1.7226724137931,241.172413793103,128.551724137931,120.068965517241,32.03469,-104.4479,0
